Project Key,Project Name,Issue Type,Summary,Description,Priority,Labels,Components,Sprint,Epic Name,Story Points,Status,Assignee,Reporter,Parent
GPI,Governed Persona Intelligence,Story,BL-004 Build CI baseline workflows,"Add lint, tests, dbt parse, and slim CI scaffolding.",High,"phase0,ci,quality","ci-cd,dbt",Sprint 1 - Foundation,,8,To Do,,,EPIC-FOUNDATION
GPI,Governed Persona Intelligence,Story,BL-005 Add Snowflake clone strategy for PR validation,Use zero-copy clone flow for isolated PR integration tests.,High,"phase0,ci,snowflake","ci-cd,snowflake",Sprint 1 - Foundation,,5,To Do,,,EPIC-FOUNDATION
GPI,Governed Persona Intelligence,Story,BL-006 Enforce branch protection and required checks,Configure required checks and merge policy.,Medium,"phase0,governance,git","ci-cd,governance",Sprint 1 - Foundation,,3,To Do,,,EPIC-FOUNDATION
GPI,Governed Persona Intelligence,Story,BL-010 Define source data contracts,Define required/optional fields and schema drift policy for source events.,High,"phase1,contracts,ingestion","ingestion,data-quality",Sprint 2 - Ingestion,,5,To Do,,,EPIC-INGESTION
GPI,Governed Persona Intelligence,Story,BL-011 Configure Airbyte connectors to Snowflake,Implement ingestion connectors and raw landing destinations.,Highest,"phase1,airbyte,ingestion","ingestion,airbyte",Sprint 2 - Ingestion,,8,To Do,,,EPIC-INGESTION
GPI,Governed Persona Intelligence,Story,BL-012 Add ingestion metadata fields,"Add ingest timestamp, source file, and load id metadata.",Medium,"phase1,metadata,lineage","ingestion,lineage",Sprint 2 - Ingestion,,3,To Do,,,EPIC-INGESTION
GPI,Governed Persona Intelligence,Story,BL-013 Add freshness and volume monitoring,Define source monitors and baseline thresholds.,High,"phase1,monitoring,quality","observability,reliability",Sprint 2 - Ingestion,,5,To Do,,,EPIC-INGESTION
GPI,Governed Persona Intelligence,Story,BL-014 Build source-to-landing reconciliations,Validate source and landed counts within tolerated variance.,High,"phase1,reconciliation,quality","dbt,data-quality",Sprint 2 - Ingestion,,5,To Do,,,EPIC-INGESTION
GPI,Governed Persona Intelligence,Story,BL-020 Implement Airflow delayed-arrival sensors,Detect lag and late-arriving records with workflow sensors.,High,"phase1,airflow,late-data","orchestration,airflow",Sprint 3 - Reliability and Locale,,5,To Do,,,EPIC-INGESTION
GPI,Governed Persona Intelligence,Story,BL-021 Implement dbt lookback incrementals,Build lookback-window incremental models for replay tolerance.,Highest,"phase1,dbt,incremental","dbt,semantic-layer",Sprint 3 - Reliability and Locale,,8,To Do,,,EPIC-INGESTION
GPI,Governed Persona Intelligence,Story,BL-022 Build idempotent session merge logic,Prevent duplicate facts under out-of-order replay.,Highest,"phase1,reliability,merge","dbt,reliability",Sprint 3 - Reliability and Locale,,8,To Do,,,EPIC-INGESTION
GPI,Governed Persona Intelligence,Story,BL-023 Build encoding normalization UDFs,Handle ISO-8859-1 edge cases via Snowpark UDFs.,High,"phase2,snowpark,encoding","transformation,snowpark",Sprint 3 - Reliability and Locale,,5,To Do,,,EPIC-NORMALIZATION
GPI,Governed Persona Intelligence,Story,BL-024 Add umlaut and abbreviation normalization macros,Normalize umlauts and regional abbreviations.,High,"phase2,dbt,normalization","dbt,transformation",Sprint 3 - Reliability and Locale,,5,To Do,,,EPIC-NORMALIZATION
GPI,Governed Persona Intelligence,Story,BL-030 Implement German currency and scale parser,Parse German currency formats and Mio/Tsd scales.,Highest,"phase2,parsing,currency","transformation,data-quality",Sprint 4 - Semantic Core,,8,To Do,,,EPIC-NORMALIZATION
GPI,Governed Persona Intelligence,Story,BL-031 Add malformed-value handling and parser tests,Enforce robust handling for invalid monetary input values.,High,"phase2,testing,quality","data-quality,testing",Sprint 4 - Semantic Core,,5,To Do,,,EPIC-NORMALIZATION
GPI,Governed Persona Intelligence,Story,BL-032 Define SCD2 contract for dim_users,Finalize effective dating and current row semantics.,High,"phase3,scd2,modeling","dbt,semantic-layer",Sprint 4 - Semantic Core,,5,To Do,,,EPIC-SEMANTIC
GPI,Governed Persona Intelligence,Story,BL-033 Implement snapshots and overlap tests,Build SCD2 snapshots and temporal integrity checks.,Highest,"phase3,snapshots,integrity","dbt,data-quality",Sprint 4 - Semantic Core,,8,To Do,,,EPIC-SEMANTIC
GPI,Governed Persona Intelligence,Story,BL-034 Enforce no-orphan transaction checks,Ensure every transaction maps to valid dim_users state.,High,"phase3,integrity,referential","dbt,data-quality",Sprint 4 - Semantic Core,,5,To Do,,,EPIC-SEMANTIC
GPI,Governed Persona Intelligence,Story,BL-040 Build rolling RFM features,"Compute 30/60/90 day recency, frequency, and monetary features.",Highest,"phase3,rfm,features","dbt,feature-engineering",Sprint 5 - ML Core,,8,To Do,,,EPIC-SEMANTIC
GPI,Governed Persona Intelligence,Story,BL-041 Implement identity resolution surrogate keys,Link guest and authenticated activity deterministically.,High,"phase3,identity,resolution","dbt,feature-engineering",Sprint 5 - ML Core,,5,To Do,,,EPIC-SEMANTIC
GPI,Governed Persona Intelligence,Story,BL-042 Build Snowpark KMeans training pipeline,Implement clustering model in dbt Python/Snowpark.,Highest,"phase4,kmeans,snowpark","ml-platform,snowpark",Sprint 5 - ML Core,,8,To Do,,,EPIC-ML
GPI,Governed Persona Intelligence,Story,BL-043 Evaluate candidate k and publish cluster metadata,Run silhouette/inertia analysis and persist cluster descriptors.,High,"phase4,clustering,evaluation","ml-platform,analytics",Sprint 5 - ML Core,,5,To Do,,,EPIC-ML
GPI,Governed Persona Intelligence,Story,BL-044 Run persona coherence review,Validate cluster interpretation with business stakeholders.,Medium,"phase4,stakeholder,review","analytics,business",Sprint 5 - ML Core,,3,To Do,,,EPIC-ML
GPI,Governed Persona Intelligence,Story,BL-050 Train churn random forest model,Train supervised churn model with governed features.,Highest,"phase4,churn,modeling","ml-platform,snowpark",Sprint 6 - Model Operations,,8,To Do,,,EPIC-ML
GPI,Governed Persona Intelligence,Story,BL-051 Implement model validation and calibration,Run holdout metrics and calibration quality checks.,High,"phase4,validation,calibration","ml-platform,testing",Sprint 6 - Model Operations,,5,To Do,,,EPIC-ML
GPI,Governed Persona Intelligence,Story,BL-052 Register model versions with lineage,Store model versions and training context in registry.,High,"phase4,registry,lineage","model-registry,governance",Sprint 6 - Model Operations,,5,To Do,,,EPIC-ML
GPI,Governed Persona Intelligence,Story,BL-053 Configure drift monitor and retrain trigger,Trigger Airflow retraining when drift exceeds threshold.,Highest,"phase4,drift,retraining","observability,airflow",Sprint 6 - Model Operations,,8,To Do,,,EPIC-ML
GPI,Governed Persona Intelligence,Story,BL-054 Implement canary scoring gate,Validate model safety before full promotion.,High,"phase4,canary,release","ml-platform,reliability",Sprint 6 - Model Operations,,5,To Do,,,EPIC-ML
GPI,Governed Persona Intelligence,Story,BL-060 Build persona prompt templates,Create grounded templates for cluster narrative generation.,High,"phase5,prompting,cortex","ai-layer,analytics",Sprint 7 - Persona Consultant,,5,To Do,,,EPIC-AI-APP
GPI,Governed Persona Intelligence,Story,BL-061 Integrate Cortex complete/summarize pipelines,Implement SQL-based narrative generation using Cortex.,Highest,"phase5,cortex,integration","ai-layer,snowflake",Sprint 7 - Persona Consultant,,8,To Do,,,EPIC-AI-APP
GPI,Governed Persona Intelligence,Story,BL-062 Add prompt regression and factual checks,Prevent hallucinations and enforce anchor coverage.,High,"phase5,quality,guardrails","ai-layer,testing",Sprint 7 - Persona Consultant,,5,To Do,,,EPIC-AI-APP
GPI,Governed Persona Intelligence,Story,BL-063 Build Streamlit Persona Consultant app,Deliver persona query UX for marketers.,Highest,"phase5,streamlit,app","app,streamlit",Sprint 7 - Persona Consultant,,8,To Do,,,EPIC-AI-APP
GPI,Governed Persona Intelligence,Story,BL-064 Add RBAC, telemetry, and UAT packs,Secure app access and validate stakeholder acceptance.,High,"phase5,rbac,uat",,,EPIC-AI-APP,5,To Do,Sprint 7 - Persona Consultant
GPI,Governed Persona Intelligence,Story,BL-070 Run resilience game-day drills,Exercise failure scenarios and confirm incident response pathways.,Highest,"phase6,resilience,gameday","operations,reliability",Sprint 8 - Go Live,,8,To Do,,,EPIC-GOLIVE
GPI,Governed Persona Intelligence,Story,BL-071 Validate rollback across layers,"Test rollback for data, model, and application components.",High,"phase6,rollback,release","operations,release",Sprint 8 - Go Live,,5,To Do,,,EPIC-GOLIVE
GPI,Governed Persona Intelligence,Story,BL-072 Execute progressive rollout and hypercare,Deploy in cohorts and track stabilization metrics.,Highest,"phase6,rollout,hypercare","operations,business",Sprint 8 - Go Live,,8,To Do,,,EPIC-GOLIVE
GPI,Governed Persona Intelligence,Story,BL-073 Complete acceptance package and BAU handover,Finalize sign-off artifacts and transfer operations.,High,"phase6,acceptance,handover","governance,operations",Sprint 8 - Go Live,,5,To Do,,,EPIC-GOLIVE
GPI,Governed Persona Intelligence,Story,BL-074 Produce optimization backlog from PIR,Capture lessons and next-wave opportunities.,Medium,"phase6,pir,optimization","planning,business",Sprint 8 - Go Live,,3,To Do,,,EPIC-GOLIVE
